requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
1,system,NN,O,NON-PERSON,shall allow,VB,TV,FALSE,user,NN,O,TN ,0
1,user,NN,PERSON,PERSON,select,VB,TV,TRUE,product,NN,O,TN ,1
1,user,NN,PERSON,PERSON,select product,NN,TV,FALSE,configure,VB,O,TV ,0
2,system,NN,O,NON-PERSON,shall display,VB,TV,FALSE,available component of product,NN,O,TN ,0
3,system,NN,O,NON-PERSON,shall enable,VB,TV,FALSE,user,NN,O,TN ,0
4,system,NN,O,NON-PERSON,shall notify user about,IN,OTHER,FALSE,conflict in current configuration,NN,O,TN ,0
5,system,NN,O,NON-PERSON,shall allow,VB,TV,FALSE,user,NN,O,TN ,0
5,user,NN,PERSON,PERSON,update,VB,TV,FALSE,configuration,NN,O,TN ,1
5,conflict,NN,PERSON,PERSON,be in,IN,TV,FALSE,current configuration,NN,O,TN ,1
6,system,NN,O,NON-PERSON,shall allow,VB,TV,FALSE,user,NN,O,TN ,0
6,user,NN,PERSON,PERSON,confirm,VB,TV,TRUE,completion of current configuration,NN,O,TN ,1
6,user,NN,PERSON,PERSON,confirm,VB,TV,TRUE,completion,NN,O,TN ,1
6,user,NN,PERSON,PERSON,confirm,VB,TV,TRUE,completion of configuration,NN,O,TN ,1
7,system,NN,O,NON-PERSON,shall display,VB,TV,FALSE,detailed product categorization,NN,O,TN ,0
7,system,NN,O,NON-PERSON,shall display,VB,TV,FALSE,product categorization,NN,O,TN ,0
7,system,NN,O,NON-PERSON,shall display product categorization to,TO,OTHER,FALSE,user,NN,O,TN ,0
8,system,NN,O,NON-PERSON,shall enable,VB,TV,FALSE,user,NN,O,TN ,0
8,user,NN,PERSON,PERSON,enter,VB,TV,FALSE,search text,NN,O,TN ,1
8,user,NN,PERSON,PERSON,enter search text on,IN,TV,FALSE,screen,NN,O,TN ,0
9,user,NN,PERSON,PERSON,select,VB,TV,TRUE,option on screen,NN,O,TN ,1
9,system,NN,O,NON-PERSON,shall enable,VB,TV,FALSE,user,NN,O,TN ,0
9,user,NN,PERSON,PERSON,select option,NNS,TV,FALSE,search,VB,O,TN ,0
9,user,NN,PERSON,PERSON,select,VB,TV,TRUE,multiple option on screen,NN,O,TN ,1
9,user,NN,PERSON,PERSON,select,VB,TV,TRUE,multiple option,NNS,O,TN ,1
9,user,NN,PERSON,PERSON,select,VB,TV,TRUE,option,NNS,O,TN ,1
11,system,NN,O,NON-PERSON,shall display,VB,TV,FALSE,only 10 matching result,NN,O,TN ,0
11,system,NN,O,NON-PERSON,shall display,VB,TV,FALSE,only 10 result,NN,O,TN ,0
12,system,NN,O,NON-PERSON,shall enable,VB,TV,FALSE,navigate between search,NN,O,TN ,0
12,system,NN,O,NON-PERSON,shall enable,VB,TV,FALSE,user,NN,O,TN ,0
12,system,NN,O,NON-PERSON,shall enable,VB,TV,FALSE,navigate,VB,O,TV ,0
12,user,NN,PERSON,PERSON,navigate between,IN,TV,FALSE,search,NN,O,TN ,1
14,system,NN,O,NON-PERSON,shall allow,VB,TV,FALSE,user,NN,O,TN ,0
14,user,NN,PERSON,PERSON,create,VB,TV,TRUE,profile,NN,O,TN ,1
14,system,NN,O,NON-PERSON,set,VBD,TV,FALSE,he credential,NN,O,TN ,0
