requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
1,user,NNS,PERSON,PERSON,apply through,IN,TV,FALSE,web portal,NN,O,TN ,1
1,user,NNS,PERSON,PERSON,apply directly for,IN,TV,FALSE,account,NN,O,TN ,1
1,user,NNS,PERSON,PERSON,apply for,IN,TV,FALSE,account,NN,O,TN ,1
1,user,NNS,PERSON,PERSON,apply directly through,IN,TV,FALSE,web portal,NN,O,TN ,1
2,user,NNS,PERSON,PERSON,must enter,VB,TV,FALSE,require field,NNS,O,TN ,1
3,user,NN,PERSON,PERSON,must enter,VB,TV,FALSE,they NCAR Gatekeeper username,NNP,O,OTHER ,1
4,user,NN,PERSON,PERSON,view,VB,TV,FALSE,they account detail,NNS,O,TN ,1
4,user,NN,PERSON,PERSON,view,VB,TV,FALSE,they current account detail,NNS,O,TN ,1
6,system,NN,O,NON-PERSON,shall provide,VB,TV,FALSE,means request,NN,O,TN ,0
7,system,NN,O,NON-PERSON,shall notify,VB,TV,FALSE,admin,NN,O,OTHER ,0
7,system,NN,O,NON-PERSON,shall notify,VB,TV,FALSE,portal admin,NN,O,TN ,0
7,system,NN,O,NON-PERSON,shall notify admin about,IN,OTHER,FALSE,delete request,NNS,O,TN ,0
7,system,NN,O,NON-PERSON,shall notify admin about,IN,OTHER,FALSE,request,NNS,O,TN ,0
8,user,NN,PERSON,PERSON,enter password to,TO,TV,FALSE,login,NN,O,OTHER ,0
8,user,NN,PERSON,PERSON,enter password to,TO,TV,FALSE,login to system,NN,O,TN ,0
8,user,NN,PERSON,PERSON,enter,VB,TV,FALSE,password,NN,O,TN ,1
8,system,NN,O,NON-PERSON,shall require,VB,TV,FALSE,user,NN,O,TN ,0
8,user,NN,PERSON,PERSON,enter,VB,TV,FALSE,they username,JJ,O,OTHER ,1
9,user,NN,PERSON,PERSON,shall,MD,OTHER,FALSE,shall prompt at beginning for they credentials,NNS,O,TN ,0
9,user,NN,PERSON,PERSON,shall,MD,OTHER,FALSE,shall prompt at beginning of session,NN,O,TN ,0
9,user,NN,PERSON,PERSON,shall,MD,OTHER,FALSE,shall prompt,VBN,O,TN ,0
9,user,NN,PERSON,PERSON,shall,MD,OTHER,FALSE,shall prompt at beginning,NN,O,TN ,0
9,user,NN,PERSON,PERSON,shall,MD,OTHER,FALSE,shall prompt at beginning of session for they credentials,NNS,O,TN ,0
9,user,NN,PERSON,PERSON,shall,MD,OTHER,FALSE,shall prompt for they credentials,NNS,O,TN ,0
10,login action,NNS,O,NON-PERSON,use,VBG,TV,FALSE,datum channel,NNS,O,TN ,0
10,login action,NNS,O,NON-PERSON,shall,MD,OTHER,FALSE,shall protect,VBN,O,OTHER ,0
10,login action,NNS,O,NON-PERSON,use,VBG,TV,FALSE,secure datum channel,NNS,O,TN ,0
11,system,NN,O,NON-PERSON,shall lock,VB,TV,FALSE,account,NN,O,TN ,0
11,system,NN,O,NON-PERSON,shall lock account after,IN,OTHER,FALSE,3 login attempt,NNS,O,TN ,0
12,this,DT,O,NON-PERSON,will require,VB,TV,FALSE,portal,NN,O,TN ,0
14,Admin user,NNS,PERSON,PERSON,will,MD,TV,FALSE,will authenticate against portal database,NN,O,TN ,0
14,Admin user,NNS,PERSON,PERSON,will,MD,TV,FALSE,will authenticate,VBN,O,TN ,0
