requirement, subject, s-tag, s-ner, s-type, verb, v-tag, v-cat, v-process, object, o-tag, o-ner, o-type, label 
1,scientist,NNS,PERSON,PERSON,exploit,VB,TV,TRUE,datum from burst,NNS,O,TN ,1
1,scientist,NNS,PERSON,PERSON,origin of,IN,OTHER,FALSE,Gamma-Ray Bursts,NNPS,MISC,OTHER ,1
1,scientist,NNS,PERSON,PERSON,exploit,VB,TV,TRUE,datum,NNS,O,TN ,1
1,scientist,NNS,PERSON,PERSON,determine,VB,TV,TRUE,origin of Gamma-Ray Bursts,NNPS,MISC,TN ,1
1,scientist,NNS,PERSON,PERSON,determine,VB,TV,TRUE,origin,NN,O,TN ,1
2,scientist,NNS,PERSON,PERSON,exploit,VB,TV,TRUE,grb afterglow characteristic,NNS,O,TN ,1
2,scientist,NNS,PERSON,PERSON,exploit,VB,TV,TRUE,discover grb afterglow characteristic,NNS,O,TN ,1
2,Swift instrumentation,NN,O,NON-PERSON,shall allow,VB,TV,FALSE,scientist,NNS,O,TN ,0
2,scientist,NNS,PERSON,PERSON,exploit,VB,TV,TRUE,newly discover grb afterglow characteristic,NNS,O,TN ,1
3,scientist,NNS,PERSON,PERSON,determine,VB,TV,TRUE,origin of grb,NNS,O,TN ,1
3,Swift,NNP,O,NON-PERSON,identify,VBP,TV,TRUE,class,NNS,O,TN ,0
3,Swift,NNP,O,NON-PERSON,shall allow,VB,TV,FALSE,scientist,NNS,O,TN ,0
3,GRB blast wave,NNS,O,NON-PERSON,interact with,IN,TV,FALSE,surroundings,NNS,O,TN ,0
3,Swift,NNP,O,NON-PERSON,identify,VBP,TV,TRUE,different class,NNS,O,TN ,0
3,Swift,NNP,O,NON-PERSON,identify,VBP,TV,TRUE,class of burst,NNS,O,TN ,0
3,Swift,NNP,O,NON-PERSON,identify,VBP,TV,TRUE,different class of burst,NNS,O,TN ,0
3,Swift,NNP,O,NON-PERSON,shall allow,VB,TV,FALSE,determine,VB,O,TV ,0
3,scientist,NNS,PERSON,PERSON,determine,VB,TV,TRUE,origin,NN,O,TN ,1
4,spacecraft,NN,O,NON-PERSON,shall,MD,OTHER,FALSE,slew in direction,NN,O,TN ,0
4,spacecraft,NN,O,NON-PERSON,shall,MD,OTHER,FALSE,slew,NNS,O,TN ,0
4,spacecraft,NN,O,NON-PERSON,shall,MD,OTHER,FALSE,slew in direction of GRB,NNP,O,TN ,0
4,slew,NNS,O,NON-PERSON,be in,IN,TV,FALSE,direction of GRB,NNP,O,TN ,0
4,spacecraft,NN,O,NON-PERSON,bring,VBG,TV,FALSE,it,PRP,O,TN ,0
5,Swift,NNP,O,NON-PERSON,shall have,VB,TV,FALSE,Communications Network communicate via dual redundant mil-std-1553b serial interface,NN,O,TN ,0
5,Swift,NNP,O,NON-PERSON,shall have,VB,TV,FALSE,Communications Network communicate,VBZ,O,TN ,0
5,Swift,NNP,O,NON-PERSON,shall have,VB,TV,FALSE,Communications Network communicate via mil-std-1553b serial interface,NN,O,TN ,0
5,Swift,NNP,O,NON-PERSON,shall have,VB,TV,FALSE,Communications Network communicate to s/c via redundant mil-std-1553b serial interface,NN,O,TN ,0
5,Swift,NNP,O,NON-PERSON,shall have,VB,TV,FALSE,Communications Network communicate via dual mil-std-1553b serial interface,NN,O,TN ,0
5,Swift,NNP,O,NON-PERSON,shall have,VB,TV,FALSE,Communications Network communicate to s/c,NN,O,TN ,0
5,Swift,NNP,O,NON-PERSON,shall have,VB,TV,FALSE,Communications Network communicate to s/c via mil-std-1553b serial interface,NN,O,TN ,0
5,Swift,NNP,O,NON-PERSON,shall have,VB,TV,FALSE,Communications Network communicate to s/c via dual mil-std-1553b serial interface,NN,O,TN ,0
